33 256,33186,29036
turiya,turiy,aṃ nt
tūriya,tūriy,aṃ nt
tūriyaṅga,tūriyaṅg,a m
turukkha,turukkh,a adj
tussamāna,tuss,amāna prp
tussana,tussan,aṃ nt
tussanā,tussan,ā f
tussanta,tuss,anta prp
tussati,tuss,ati pr
tussi,tuss,i aor
tussitvā,ind,
tutta,tutt,aṃ nt
tuṭṭha,tuṭṭh,a pp
tuṭṭhacitta,tuṭṭhacitt,a adj
tuṭṭhi,tuṭṭh,i f
tuṭṭhī,tuṭṭh,ī f
tuvaṃ 1,irreg,tvaṃ pron
tuvaṃ 2,irreg,tvaṃ pron
tuvaṃtuvaṃ,ind,
tuvañhi,ind,
tuvaṭaṃ,ind,
tuyha,irreg,tvaṃ pron
tuyhaṃ 1,irreg,tvaṃ pron
tuyhaṃ 2,irreg,tvaṃ pron
tuyhameva,ind,
tuyhañhi,ind,
tuyhiminā,ind,
tvaṃ,irreg,tvaṃ pron
tvamasi,ind,
tvampi,ind,
tvaṃyeva,ind,
tvañca,ind,
tvaññeva,ind,
tveva 1,ind,
tveva 2,ind,
tveva 3,ind,
tyāhaṃ 1,ind,
tyāhaṃ 2,ind,
tyassa,ind,
tyāssa,ind,
tyassu,ind,
u 1,,
u 2,ind,
ubbahana,ubbahan,aṃ nt
ubbahati,ubbah,ati pr
ubbahi,ubbah,i aor
ubbāḷha,ubbāḷh,a pp
ubbandhana,ubbandhan,aṃ nt
ubbandhati,ubbandh,ati pr
ubbandhi,ubbandh,i aor
ubbandhitvā,ind,
ubbaṭṭana,ubbaṭṭan,aṃ nt
ubbattesi,ubbatt,esi aor
ubbaṭṭesi,ubbaṭṭ,esi aor
ubbatteti,ubbatt,eti pr
ubbaṭṭeti,ubbaṭṭ,eti pr
ubbattita,ubbattit,a pp
ubbaṭṭita,ubbaṭṭit,a pp
ubbaṭuma,ubbaṭum,a adj
ubbedha,ubbedh,a m
ubbega,ubbeg,a m
ubbejesi,ubbej,esi aor
ubbejeti,ubbej,eti pr
ubbejetu,ubbejet,u3 m
ubbejita,ubbejit,a pp
ubbha,ind,
ubbhāra,ubbhār,a m
ubbhata 1,ubbhat,a pp
ubbhata 2,ubbhat,a pp
ubbhaṭṭhaka,ubbhaṭṭhak,a m
ubbhava,ubbhav,a m
ubbhida 1,ubbhid,a adj
ubbhida 2,ubbhid,a m
ubbhida 3,ubbhid,aṃ nt
ubbhidodaka,ubbhidodak,a m
ubbhijja,ind,
ubbhijjati,ubbhijj,ati pr
ubbhijji,ubbhijj,i aor
ubbhijjitvā,ind,
ubbhinditvā,ind,
ubbhinna,ubbhinn,a pp
ubbhujati,ubbhuj,ati pr
ubbhuji,ubbhuj,i aor
ubbigga,ubbigg,a pp
ubbijjanā,ubbijjan,ā f
ubbijjati,ubbijj,ati pr
ubbijji,ubbijj,i aor
ubbillavitatta,ubbillavitatt,aṃ nt
ubbūḷhavā,ubbūḷhav,antu m
ubha,irreg,ubha pron
ubhanta,ubhant,a m
ubhato,ind,
ubhatobhāga,ubhatobhāg,a adj
ubhatobhāgavimaṭṭha,ubhatobhāgavimaṭṭh,a adj
ubhatodaṇḍaka,ubhatodaṇḍak,a adj
ubhatodhāra,ubhatodhār,a adj
ubhatolohitakūpadhāna,ubhatolohitakūpadhān,a adj
ubhatomukha,ubhatomukh,a adj
ubhatosaṅgha,ubhatosaṅgh,a m
ubhaya,ubhay,a adj
ubhayabyābādha,ubhayabyābādh,a m
ubhayahita,ubhayahit,aṃ nt
ubhayamantarena,ind,
ubhayantarena,ind,
ubhayathā,ind,
ubhayattha 1,ind,
ubhayattha 2,ind,
ubhe,irreg,ubha pron
ubhinnaṃ 1,irreg,ubha pron
ubhinnaṃ 2,irreg,ubha pron
ubho,irreg,ubha pron
ubhohi,irreg,ubha pron
ubhonta,ubhont,a m
ubhopi,ind,
ubhosu,irreg,ubha pron
ubhova,ind,
uccā,ind,
ucca 1,ucc,a adj
ucca 2,ucc,a adj
uccākula 1,uccākul,aṃ nt
uccākula 2,uccākul,a adj
uccākulīna,uccākulīn,a adj
uccākulīnatā,uccākulīnat,ā f
uccāliṅga,uccāliṅg,a m
uccāra,uccār,a m
uccaraṇā,uccaraṇ,ā f
uccāraṇa,uccāraṇ,aṃ nt
uccārapassāva,uccārapassāv,a m
uccārapassāvakamma,uccārapassāvakamm,aṃ nt
uccāresi,uccār,esi aor
uccāreti,uccār,eti pr
uccāretvā,ind,
uccārita 1,uccārit,a pp
anuccāritakata,anuccāritakat,a adj
uccāritakata,uccāritakat,a adj
uccārita 2,uccārit,a pp
uccāsadda 1,uccāsadd,a m
uccāsadda 2,uccāsadd,a adj
uccāsaddamahāsadda,uccāsaddamahāsadd,a adj
uccāsayana,uccāsayan,aṃ nt
uccāsayanamahāsayana,uccāsayanamahāsayan,aṃ nt
uccāsoṇḍā,uccāsoṇḍ,ā f
uccāsoṇḍaṃ paggahetvā,ind,
uccati 1,ucc,ati pr
uccati 2,ucc,ati pr
uccāvaca,uccāvac,a adj
uccaya,uccay,a m
ucchādana 1,ucchādan,aṃ nt
ucchādana 2,ucchādan,aṃ nt
ucchādesi,ucchād,esi aor
ucchādeti,ucchād,eti pr
ucchaṅga,ucchaṅg,a m
uccheda,ucched,a m
ucchedavāda,ucchedavād,a m
ucchedavādī,ucchedavād,ī m
ucchediṭṭhi,ucchediṭṭh,i f
ucchijjati,ucchijj,ati pr
ucchijji,ucchijj,i aor
ucchindati,ucchind,ati pr
ucchindi,ucchind,i aor
ucchinna,ucchinn,a pp
ucchinnabhavataṇha,ucchinnabhavataṇh,a adj
ucchinnamūla,ucchinnamūl,a adj
ucchu,ucch,u1 m
ucchurasa,ucchuras,a m
ucchuyanta,ucchuyant,aṃ nt
uccināti,uccin,āti pr
uccini,uccin,i aor
uccinitvā,ind,
ucciṭṭha,ucciṭṭh,a adj
uda 1,ind,
uda 2,ud,aṃ nt
uda vā,ind,
udabbadhī,udabbadh,i aor
udabbahi,udabbah,i aor
udabindu,udabind,uṃ nt
udacchidā,udacchid,ā imperf
udadhi,udadh,i m
udagga,udagg,a adj
udaggacitta,udaggacitt,a adj
udāhāra,udāhār,a m
udahāraka,udahārak,a m
udāharaṇa,udāharaṇ,aṃ nt
udāharati,udāhar,ati pr
udāhari,udā,har aor
udahārikā,udahārik,ā f
udahāriya,udahāriy,aṃ nt
udāhaṭa,udāhaṭ,a pp
udāhu,ind,
udaka 1,udak,aṃ nt
udaka 2,udak,a adj
udakabindu,udakabind,uṃ nt
udakadantapona,udakadantapon,aṃ nt
udakādhāna,udakādhān,aṃ nt
udakadhārā,udakadhār,ā f
udakāka,udakāk,a m
udakakkhandha,udakakkhandh,a m
udakalekhā,udakalekh,ā f
udakaṃ orohati,udakaṃ oroh,ati pr
udakamallaka,udakamallak,a m
udakamaṇika,udakamaṇik,a m
udakaṇṇava,udakaṇṇav,a m
udakanta,udakant,a m
udakapatta,udakapatt,a m
udakaphusita,udakaphusit,aṃ nt
udakarahada,udakarahad,a m
udakasāṭikā,udakasāṭik,ā f
udakaṭṭhapana,udakaṭṭhapan,aṃ nt
udakāvasesa,udakāvases,aṃ nt
udakavāta,udakavāt,a m
udakāyatikā,udakāyatik,ā f
udakorohaka,udakorohak,a m
udakorohanta,udakorohant,a m
udakumbha,udakumbh,a m
udāna,udān,aṃ nt
udañcana,udañcan,aṃ nt
udānesi,udān,esi aor
udāneti,udān,eti pr
udapādi,udapād,i aor
udapajjā,udapajj,ā imperf
udapajjatha,udapajj,ā imperf
udapāna,udapān,a m
udapatta,udapatt,a m
udāra,udār,a adj
udara 1,udar,aṃ nt
udara 2,udar,aṃ nt
udaraggi,udaragg,i m
udarapaṭala,udarapaṭal,aṃ nt
udaravadehakaṃ,ind,
udariya,udariy,aṃ nt
udāsīna,udāsīn,a adj
udaya 1,uday,a m
udaya 2,uday,a m
udayabbaya,udayabbay,a m
udayabbayānupassī,udayabbayānupass,ī adj
udayana,udayan,aṃ nt
udayanta,uday,anta prp
udayati,uday,ati pr
udayatthagama,udayatthagam,a m
udayatthagāmī,udayatthagām,ī adj
udda,udd,a m
uḍḍahati,uḍḍah,ati pr
uḍḍahi,uḍḍah,i aor
uddālaka,uddālak,a m
uddālana,uddālan,aṃ nt
uddālanaka,uddālanak,a adj
uddālesi,uddāl,esi aor
uddāleti,uddāl,eti pr
uddālitvā,ind,
uddāma,uddām,a adj
uddāna,uddān,aṃ nt
uddāpa,uddāp,a m
uddāpavant,uddāpav,ant adj
uddassesi,uddass,esi aor
uddasseti,uddass,eti pr
uddaya,udday,a adj
uḍḍayhati,uḍḍayh,ati pr
uddehakaṃ,ind,
uddeka,uddek,a m
uddesa 1,uddes,a m
uddesa 2,uddes,a m
uddesa 3,uddes,a m
uddesa 4,uddes,a m
uddesa 5,uddes,a adj
uddesaka,uddesak,a m
bhattuddesaka,bhattuddesak,a m
uddesaṃ āgacchati,uddesaṃ āgacch,ati pr
uddesapariyāpanna,uddesapariyāpann,a adj
uḍḍesi,uḍḍ,esi aor
uddesika,uddesik,a adj
uḍḍeti,uḍḍ,eti pr
uddha 1,uddh,a adj
uddhacca,uddhacc,aṃ nt
uddhaccakukkucca,uddhaccakukkucc,aṃ nt
uddhaccakukkuccapareta,uddhaccakukkuccaparet,a adj
uddhaccakukkuccapariyuṭṭhita,uddhaccakukkuccapariyuṭṭhit,a adj
uddhagga,uddhagg,a adj
uddhaggaloma,uddhaggalom,a adj
uddhaggika,uddhaggik,a adj
uddhaṃ 1,ind,
uddhaṃ 2,ind,
uddhaṃ 3,ind,
uddhaṃ 4,ind,
uddhaṃ adho tiriyañca,ind,
uddhamadho,ind,
uddhambhāgiya,uddhambhāgiy,a adj
uddhaṃbhāgiya,uddhaṃbhāgiy,a adj
uddhaṃgama,uddhaṃgam,a adj
uddhaṃgāmī,uddhaṃgām,ī adj
uddhamma,uddhamm,a m
uddhaṃsara,uddhaṃsar,a adj
uddhaṃsesi,uddhaṃs,esi aor
uddhaṃseti,uddhaṃs,eti pr
uddhaṃsota,uddhaṃsot,a adj
uddhaṃvirecana,uddhaṃvirecan,aṃ nt
uddhana,uddhan,aṃ nt
uddhaṅgama,uddhaṅgam,a adj
uddhapāda,uddhapād,a adj
uddhāra,uddhār,a m
uddharaṇa,uddharaṇ,aṃ nt
uddharāpeti,uddharāp,ati pr
uddharati 1,uddhar,ati pr
uddharati 2,uddhar,ati pr
uddhari,udd,har aor
uddharitabba,uddharitabb,a ptp
uddhasta 1,uddhast,a pp
uddhasta 2,uddhast,a pp
uddhaste aruṇe nandimukhiyā rattiyā,ind,
uddhata 1,uddhat,a adj
uddhata 2,uddhat,a adj
uddhaṭa 1,uddhaṭ,a pp
uddhaṭa 2,uddhaṭ,a pp
uddhumāta,uddhumāt,a adj
uddhumātaka,uddhumātak,a adj
uddhumāyati,uddhumāy,ati pr
uddhumāyi,uddhumāy,i aor
uddhumāyita,uddhumāyit,a pp
uddīpanā,uddīpan,ā f
uddisapeti,uddisap,eti pr
uddisati 1,uddis,ati pr
uddisati 2,uddis,ati pr
uddisi,uddis,i aor
uddisituṃ,ind,
uddisitvā 1,ind,
uddisitvā 2,ind,
uddissa,ind,
uddissakata,uddissakat,a adj
uddissamāna,uddiss,amāna prp
uḍḍita,uḍḍit,a pp
uddiṭṭha 1,uddiṭṭh,a pp
uddiṭṭha 2,uddiṭṭh,a pp
uddīyati,uddīy,ati pr
uddrīyati,uddrīy,ati pr
uddrīyi,uddrīy,i aor
udesi,ud,esi aor
udeti,ud,eti pr
udicca 1,udicc,a adj
udicca 2,udicc,a adj
udikkhati,udikkh,ati pr
udikkhi,udikkh,i aor
udikkhisaṃ,udikkh,i aor irreg
udikkhita,udikkhit,a pp
udikkhitu,udikkhit,u3 m
udikkhiya,ind,
udīraṇa,udīraṇ,aṃ nt
udīrayati,udīray,ati pr
udīresi,udīr,esi aor
udīreti,udīr,eti pr
udīrita,udīrit,a pp
udita,udit,a pp
udraya,udray,a adj
udreka,udrek,a m
udrīyana,udrīyan,aṃ nt
udrīyati,udrīy,ati pr
udujita,udujit,a adj
udukkhala,udukkhal,a m
udumbara,udumbar,a m
ugga 1,ugg,a adj
ugga 2,ugg,a adj
uggacchanta,uggacch,anta prp
uggacchati,uggacch,ati pr
uggacchi,uggacch,i aor
uggaha,uggah,a m
uggāhaka,uggāhak,a adj
uggahaṇa,uggahaṇ,aṃ nt
uggahaṇanti,uggahaṇ,ati pr
uggahāpetvā,ind,
uggahāyati,uggahāy,ati pr
uggahetabba,uggahetabb,a ptp
uggahetu,uggahet,u3 m
uggahetvā 1,ind,
uggahetvā 3,ind,
uggahīta,uggahīt,a pp
uggahita 1,uggahit,a pp
uggajjati,uggajj,ati pr
uggajji,uggajj,i aor
uggama,uggam,a m
uggamana 1,uggaman,aṃ nt
uggamana 2,uggaman,aṃ nt
uggaṇhana,uggaṇhan,aṃ nt
uggaṇhāpesi 1,uggaṇhāp,esi aor
uggaṇhāpesi 2,uggaṇhāp,esi aor
uggaṇhāpeti 1,uggaṇhāp,eti pr
uggaṇhāpeti 2,uggaṇhāp,eti pr
uggaṇhāpeti 3,uggaṇhāp,eti pr
uggaṇhāti 1,uggaṇh,āti pr
uggaṇhāti 2,uggaṇh,āti pr
uggaṇhāti 3,uggaṇh,āti pr
uggaṇhi,uggaṇh,i aor
uggaṇhita,uggaṇhit,a pp
uggaṇhitukāma,uggaṇhitukām,a adj
uggaṇhitvā,ind,
uggaṇhiya,ind,
uggāra,uggār,a m
oggata,oggat,a pp
uggata 1,uggat,a adj
uggata 2,uggat,a pp
uggateja,uggatej,a adj
uggayha 1,ind,
uggayha 2,ind,
ugghaṃsesi,ugghaṃs,esi aor
ugghaṃseti,ugghaṃs,eti pr
uggharati,ugghar,ati pr
ugghari,ugghar,i aor
ugghāta,ugghāt,a m
ugghāṭana,ugghāṭan,aṃ nt
ugghātesi,ugghāt,esi aor
ugghāṭesi,ugghāṭ,esi aor
ugghāteti,ugghāt,eti pr
ugghāṭeti,ugghāṭ,eti pr
ugghāṭetuṃ,ind,
ugghāṭetukāma,ugghāṭetukām,a adj
ugghāti,ugghāt,i f
ugghaṭita,ugghaṭit,a adj
ugghāṭita,ugghāṭit,a pp
ugghosa,ugghos,a m
ugghosanā,ugghosan,ā f
ugghosesi,ugghos,esi aor
ugghoseti,ugghos,eti pr
ugghosita,ugghosit,a pp
uggilati,uggil,ati pr
uggili,uggil,i aor
uggiraṇa,uggiraṇ,aṃ nt
uggirati 1,uggir,ati pr
uggirati 2,uggir,ati pr
uggiri,uggir,i aor
ūhā,ūh,ā f
ūhacca,ind,
ūhadati,ūhad,ati pr
ūhadi,ūhad,i aor
ūhana,ūhan,aṃ nt
ūhanati 1,ūhan,ati pr
ūhanati 2,ūhan,ati pr
ūhani,ūhan,i aor
ūhasati,ūhas,ati pr
ūhata 1,ūhat,a pp
ūhata 2,ūhat,a pp
ujjagghati,ujjaggh,ati pr
ujjagghi,ujjaggh,i aor
ujjagghikā,ujjagghik,ā f
ujjahati,ujjah,ati pr
ujjahi,ujjah,i aor
ujjala,ujjal,a adj
ujjalana,ujjalan,aṃ nt
ujjalati,ujjal,ati pr
ujjāletukāma,ujjāletukām,a adj
ujjāletuṃ,ind,
ujjali,ujjal,i aor
ujjalita,ujjalit,a pp
ujjālituṃ,ind,
ujjaṅgala,ujjaṅgal,a adj
ujjavanaka,ujjavan,aka adj
ojavanaka,ojavan,aka adj
ojavanikā,ojavan,aka adj
ujjavanikā,ujjavan,aka adj
ujjavati,ujjav,ati pr
ujjavi,ujjav,i aor
ujjhāna,ujjhān,aṃ nt
ujjhānasaññī,ujjhānasaññ,ī adj
ujjhāpana,ujjhāpan,aṃ nt
ujjhāpanaka,ujjhāpanak,aṃ nt
ujjhāpesi,ujjhāp,esi aor
ujjhāpeti,ujjhāp,eti pr
ujjhati,ujjh,ati pr
ujjhayati,ujjhay,ati pr
ujjhāyi,ujjhāy,i aor
ujjhi,ujjh,i aor
ujjhita,ujjhit,a pp
ujjhitvā,ind,
ujjhiya,ind,
ujjota,ujjot,a m
ujjotesi,ujjot,esi aor
ujjoteti,ujjot,eti pr
ujjotita,ujjotit,a pp
ujju,ujj,u adj
uju,uj,u adj
ujubhūta,ujubhūt,a adj
ujugata,ujugat,a adj
ujugatacitta,ujugatacitt,a adj
ujuka,ujuk,a adj
ujuṃ,ind,
ujuṃ karoti,ind,
ujumagga,ujumagg,a m
ujumaggānusārī,ujumaggānusār,ī adj
ujuppaṭipanna,ujuppaṭipann,a adj
ujutā,ujut,ā f
ūkā,ūk,ā f
ukāra,ukār,a m
ukkā 1,ukk,ā f
ukkā 2,ukk,ā f
ukkā 3,ukk,ā f
ukkaṃsa,ukkaṃs,a m
ukkaṃsaka,ukkaṃsak,a adj
ukkaṃsanā,ukkaṃsan,ā f
ukkaṃsati,ukkaṃs,ati pr
ukkaṃsesi,ukkaṃs,esi aor
ukkaṃseti,ukkaṃs,eti pr
ukkāmukha,ukkāmukh,aṃ nt
ukkaṇḍaka,ukkaṇḍak,aṃ nt
ukkaṇṇa,ukkaṇṇ,a adj
ukkantati,ukkant,ati pr
ukkaṇṭhanā,ukkaṇṭhan,ā f
ukkaṇṭhati,ukkaṇṭh,ati pr
ukkaṇṭhi,ukkaṇṭh,i aor
ukkaṇṭhita,ukkaṇṭhit,a pp
ukkanti,ukkant,i aor
ukkantita,ukkantit,a pp
ukkāpāta,ukkāpāt,a m
ukkāra,ukkār,a m
ukkārabhūmi,ukkārabhūm,i f
ukkāsati,ukkās,ati pr
ukkāsi,ukk,āsi aor
ukkāsita,ukkāsit,a pp
ukkāsitvā,ind,
ukkaṭṭha 1,ukkaṭṭh,a adj
ukkaṭṭha 2,ukkaṭṭh,a adj
ukkaṭṭha 3,ukkaṭṭh,a adj
ukkaṭṭhita,ukkaṭṭhit,a pp
ukkhali,ukkhal,i f
ukkhalikā,ukkhalik,ā f
ukkhaṭṭhatā,ukkhaṭṭhat,ā f
ukkhepa,ukkhep,a m
ukkhepaka,ukkhepak,a m
ukkhepana,ukkhepan,aṃ nt
ukkhipana,ukkhipan,aṃ nt
ukkhipati 1,ukkhip,ati pr
ukkhipati 2,ukkhip,ati pr
ukkhipituṃ,ind,
ukkhipīyamāna,ukkhipīy,amāna prp
ukkhitta 1,ukkhitt,a pp
ukkhitta 2,ukkhitt,a pp
ukkhittaka,ukkhittak,a adj
ukkhittapaligha,ukkhittapaligh,a adj
ukkhittāsika,ukkhittāsik,a adj
ukkoṭana,ukkoṭan,aṃ nt
ukkoṭanavañcananikatisāciyoga,ukkoṭanavañcananikatisāciyog,a m
ukkoṭesi,ukkoṭ,esi aor
ukkoṭeti,ukkoṭ,eti pr
ukkoṭitita,ukkoṭitit,a pp
ukkujja,ukkujj,a adj
ukkujjana,ukkujjan,aṃ nt
ukkujjeti,ukkujj,eti pr
ukkujji,ukkujj,i aor
ukkujjita,ukkujjit,a pp
ukkujjitvā,ind,
ukkūla,ukkūl,a adj
ukkusa,ukkus,a m
ukkuṭika,ukkuṭik,a adj
ukkuṭikaṃ,ind,
ukkuṭikappadhāna,ukkuṭikappadhān,aṃ nt
ukkuṭṭhi,ukkuṭṭh,i f
uklāpa 1,uklāp,a adj
uklāpa 2,uklāp,a m
uḷāra 1,uḷār,a adj
uḷāra 2,uḷār,a adj
uḷārabhoga,uḷārabhog,a adj
uḷārabhogakula,uḷārabhogakul,aṃ nt
uḷārabhogatā,uḷārabhogat,ā f
uḷāratā,uḷārat,ā f
uḷāratta,uḷāratt,aṃ nt
ullaṅghana,ullaṅghan,aṃ nt
ullaṅghanā,ullaṅghan,ā f
ullaṅghesi,ullaṅgh,esi aor
ullaṅgheti,ullaṅgh,eti pr
ullaṅghetvā,ind,
ullaṅghita,ullaṅghit,a pp
ullaṅghiya,ind,
ullapanā,ullapan,ā f
ullapati,ullap,ati pr
ullapi,ullap,i aor
ullapitvā,ullap,ati pr
ullikhana,ullikhan,aṃ nt
ullikhati,ullikh,ati pr
ullikhi,ullikh,i aor
ullikhita 1,ullikhit,a pp
ullikhita 2,ullikhit,a pp
ullitta,ullitt,a pp
ullittāvalitta,ullittāvalitt,a adj
ullokaka,ullokak,a adj
ullokana,ullokan,aṃ nt
ullokenta,ullok,enta prp
ullokesi,ullok,esi aor
ulloketi,ullok,eti pr
ullola,ullol,a m
ullolesi,ullol,esi aor
ulloleti,ullol,eti pr
ullolita,ullolit,a pp
ullumpana,ullumpan,aṃ nt
ullumpati,ullump,ati pr
ullumpi,ullump,i aor
uḷu,uḷ,u1 m
uḷuggahayuddha,uḷuggahayuddh,aṃ nt
uḷukapakkhika,uḷukapakkhik,a adj
uḷumpa,uḷump,a m
uḷuṅka,uḷuṅk,a m
uḷurājā,uḷu,rājā m
uṃ,u,ṃ ve
umā,um,ā f
umāpuppha,umāpupph,aṃ nt
ūmi,ūm,i f
ūmibhaya,ūmibhay,aṃ nt
ūmijāta,ūmijāt,a adj
ummā,umm,ā f
ummāda,ummād,a m
ummādana,ummādan,a adj
ummagga 1,ummagg,a m
ummagga 2,ummagg,a m
ummaṅga,ummaṅg,a m
ummāra,ummār,a m
ummatta,ummatt,a adj
ummattaka 1,ummattak,a m
ummattaka 2,ummattak,aṃ nt
ummi,umm,i f
ummihati,ummih,ati pr
ummihi,ummih,i aor
ummīlana,ummīlan,aṃ nt
ummīlesi,ummīl,esi aor
ummīleti,ummīl,eti pr
ummīletvā,ind,
ummisati,ummis,ati pr
ummisi,ummis,i aor
ummujjamāna,ummujj,amāna prp
ummujjana,ummujjan,aṃ nt
ummujjanimujjā,ummujjanimujj,ā f
ummujjanta,ummujj,anta prp
ummujjati,ummujj,ati pr
ummujji,ummujj,i aor
ummuka,ummuk,aṃ nt
ummukha 1,ummukh,a adj
ummukha 2,ummukh,a pp
ummūla,ummūl,a pp
ummūlana,ummūlan,aṃ nt
ummūlesi,ummūl,esi aor
ummūleti,ummūl,eti pr
ummūlita,ummūlit,a pp
uṃvibhatti,uṃvibhatt,i m
uṇā,ind,
ūna 1,ūn,a adj
ūna 2,ūn,aṃ nt
ūnaka,ūnak,a adj
ūnakachabbassa,ūnakachabbass,aṃ nt
ūnapañcabandhana,ūnapañcabandhan,a adj
ūnatā,ūnat,ā f
ūnatta,ūnatt,aṃ nt
ūnavīsativassa,ūnavīsativass,a adj
uñcha,uñch,a m
uñchā,uñch,ā f
uñchācariyā,uñchācariy,ā f
uñchati,uñch,ati pr
uñchi,uñch,i aor
uñchita,uñchit,a pp
undriyana,undriyan,aṃ nt
undrīyati,undrīy,ati pr
undura,undur,a m
undūra,undūr,a m
uṇha 1,uṇh,a adj
uṇha 2,uṇh,aṃ nt
uṇhasamaya,uṇhasamay,a m
uṇhatta,uṇhatt,aṃ nt
unhīsa,unhīs,aṃ nt
uṇhīsa,uṇhīs,aṃ nt
uṇhīsasīsa,uṇhīsasīs,a adj
uṇṇa,uṇṇ,aṃ nt
uṇṇā 1,uṇṇ,ā f
uṇṇā 2,uṇṇ,ā f
uṇṇābhi,uṇṇābh,i m
unnāda,unnād,a m
unnadati,unnad,ati pr
unnādeti,unnād,eti pr
unnadi,unnad,i aor
unnādī,unnād,ī adj
unnādinī,unnādin,ī f
unnadita,unnadit,a pp
uṇṇakajāta,uṇṇakajāt,a adj
unnala,unnal,a adj
unnaḷa,unnaḷ,a adj
unnama,unnam,a m
unnamati,unnam,ati pr
uṇṇamati,uṇṇam,ati pr
unnāmeti,unnām,eti pr
unnami,unnam,i aor
unnata,unnat,a pp
uṇṇata,uṇṇat,a adj
uññātabba,uññātabb,a ptp
unnati,unnat,i f
uṇṇatī,uṇṇat,ī f
ūnūdara,ūnūdar,a adj
upa,ind,
upabbūḷha,upabbūḷh,a adj
upabhoga,upabhog,a m
upabhogī,upabhog,ī adj
upabhuñjaka,upabhuñjak,a adj
upabrūhana,upabrūhan,aṃ nt
upabrūhayamāna,upabrūhay,amāna prp
upabrūhesi,upabrūh,esi aor
upabrūheti,upabrūh,eti pr
ūpabrūhita,ūpabrūhit,a pp
upacāra 1,upacār,a m
upacāra 2,upacār,a m
upacarati,upacar,ati pr
upacari,upacar,i aor
upacarita,upacarit,a pp
upacaya,upacay,a m
upaccagā 1,upaccag,ā imperf
upaccagā 2,upaccag,ā imperf
upaccaguṃ,upaccag,ā imperf
upaccheda,upacched,a m
upacchedaka,upacchedak,a adj
upacchindati,upacchind,ati pr
upacchindi,upacchind,i aor
upacchinna,upacchinn,a pp
upacchubhati,upacchubh,ati pr
upacikā,upacik,ā f
upacināti,upacin,āti pr
upacini,upacin,i aor
upaciṇṇa,upaciṇṇ,a pp
upacita,upacit,a pp
upadahati,upadah,ati pr
upadahi,upadah,i aor
upadahitvā,ind,
upadaṃseti,upadaṃs,eti pr
upadaṃsetu,upadaṃset,u3 m
upādāna 1,upādān,aṃ nt
upādāna 2,upādān,aṃ nt
upādānakkhandha,upādānakkhandh,a m
upādānakkhaya,upādānakkhay,a m
upādānanirodha,upādānanirodh,a m
upādānapaccayā,ind,
upādāniya,upādāniy,a adj
upadassesi,upadass,esi aor
upadasseti,upadass,eti pr
upadassita,upadassit,a pp
upādāya 1,ind,
upādāya 2,ind,
upādāya 3,ind,
upādāya 4,ind,
upādāya 5,ind,
upaḍayhati,upaḍayh,ati pr
upaḍayhi,upaḍayh,i aor
upaddava,upaddav,a m
upaddavesi,upaddav,esi aor
upaddaveti,upaddav,eti pr
upaḍḍha 1,upaḍḍh,a adj
upaḍḍha 2,upaḍḍh,aṃ nt
upadduta,upaddut,a pp
upadesa,upades,a m
upadhāna 1,upadhān,a adj
upadhāna 2,upadhān,aṃ nt
upadhāraṇā,upadhāraṇ,ā f
upadhāraṇa 1,upadhāraṇ,aṃ nt
upadhāraṇa 2,upadhāraṇ,aṃ nt
upadhāresi,upadhār,esi aor
upadhāreti,upadhār,eti pr
upadhāretvā,ind,
upadhārita,upadhārit,a pp
upadhāvana,upadhāvan,aṃ nt
upadhāvati,upadhāv,ati pr
upadhāvi,upadhāv,i aor
upādhi,upādh,i m
upadhi 1,upadh,i m
upadhika,upadhik,a adj
upadhinidāna,upadhinidān,aṃ nt
upadhipaccayā,ind,
upadhisaṅkhaya,upadhisaṅkhay,a m
upadhivepakka,upadhivepakk,a adj
upādi,upād,i m
upādinna 1,upādinn,a pp
upādinna 2,upādinn,a pp
upadisana,upadisan,aṃ nt
upadisati,upadis,ati pr
upādisesa,upādises,a m
upadisi,upadis,i aor
upadissati,upadiss,ati pr
upadiṭṭha,upadiṭṭh,a pp
upādiyamāna,upādiy,amāna prp
upādiyanta,upādiy,anta prp
upādiyati 1,upādiy,ati pr
upādiyi,upādiy,i aor
upaga 1,upag,a adj
upaga 2,upag,a adj
upaga 3,upag,a adj
upagacchati 1,upagacch,ati pr
upagacchati 2,upagacch,ati pr
upagacchi 1,upagacch,i aor
upagacchi 2,upagacch,i aor
upagamana,upagaman,aṃ nt
upagāmī,upagām,ī adj
upāgami,upāgam,i aor
upāgāmi,upāgām,i aor
upagamma 1,ind,
upagamma 2,ind,
upagaṅgaṃ,ind,
upagantuṃ,ind,
upāgata,upāgat,a pp
upagata 1,upagat,a pp
upagata 2,upagat,a pp
upagata 3,upagat,a pp
upagāyati,upagāy,ati pr
upaggamma,ind,
upagghāta,upagghāt,a m
upaghāta 1,upaghāt,a m
upaghāta 2,upaghāt,a m
upaghātaka,upaghātak,a adj
upaghātana,upaghātan,aṃ nt
upaghātī,upaghāt,ī adj
upagūhana,upagūhan,aṃ nt
upagūhati,upagūh,ati pr
upagūhi,upagūh,i aor
upagūhita,upagūhit,a pp
upahacca 1,ind,
upahacca 2,ind,
upahaccaparinibbāyī,upahaccaparinibbāy,ī adj
upāhanā,upāhan,ā f
upahanati,upahan,ati pr
