adjectives,,,,,,,,,,,,,,cardinal numbers,,,,,,,,,,,,,,pronouns,,,,,,,,,,,,,,participles,,,,,,,,,,,,,,masculine nouns,,,,,,,,,,,,feminine nouns,,,,,,neuter nouns,,,,,,verbs,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nom,"ā
aṃ
anto",m.nom.sg,"anto
antā",m.nom.pl,"atī
antī",f.nom.sg,"atiyo
antiyo",f.nom.pl,"aṃ
antaṃ",nt.nom.sg,antāni,nt.nom.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,rājā,m.nom.sg,rājāno,m.nom.pl,,,,,,,,,,,,,,,,,,,,fut 3rd,issati,fut.3.sg,issanti,,issate,,issante,,
acc,antaṃ,m.acc.sg,"anto
ante",m.acc.pl,"atiṃ
antiṃ",f.acc.sg,"atiyo
antiyo",f.acc.pl,"aṃ
antaṃ",nt.acc.sg,antāni,nt.acc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,"rājānaṃ
rājaṃ",m.acc.sg,rājāno,m.acc.pl,,,,,,,,,,,,,,,,,,,,fut 2nd,issasi,fut.2.sg,issatha,,issase,,issavhe,,
instr,"atā
antena",m.instr.sg,antehi,m.instr.pl,"atiyā
antiyā",f.instr.sg,"atīhi
antīhi",f.instr.pl,atā,nt.instr.sg,antehi,nt.instr.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,"raññā
rājena",m.instr.sg,"rājūhi
rājehi",m.instr.pl,,,,,,,,,,,,,,,,,,,,fut 1st,issāmi,fut.1.sg,issāma,,issaṃ,,issāmhe,,
dat,ato,m.dat.sg,"ataṃ
antānaṃ",m.dat.pl,"atiyā
antiyā",f.dat.sg,"atīnaṃ
antīnaṃ",f.dat.pl,ato,nt.dat.sg,antānaṃ,nt.dat.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"rañño
rājino",m.dat.sg,"raññaṃ
rājānaṃ
rājūnaṃ",m.dat.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abl,"atā
antamhā
antasmā",m.abl.sg,antehi,m.abl.pl,"atiyā
antiyā",f.abl.sg,"atīhi
antīhi",f.abl.pl,atā,nt.abl.sg,antehi,nt.abl.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"rañña
rājamhā
rājasmā",m.abl.sg,"rājūhi
rājehi",m.abl.pl,,,,,,,,,,,,,,,,,,,,hiti fut,sg,,pl,,relfx sg,,relfx pl,,
gen,"ato
antassa",m.gen.sg,"ataṃ
antānaṃ",m.gen.pl,"atiyā
antiyā",f.gen.sg,"atīnaṃ
antīnaṃ",f.gen.pl,ato,nt.gen.sg,antānaṃ,nt.gen.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"rañño
rājino",m.gen.sg,"raññaṃ
rājūnaṃ
rājānaṃ",m.gen.pl,,,,,,,,,,,,,,,,,,,,fut 3rd,hiti,fut.3.sg,hinti,,hite,,hinte,,
loc,"ati
ante
antamhi
antasmiṃ",m.loc.sg,antesu,m.loc.pl,"atiyā
atiyaṃ
antiyā
antiyaṃ",f.loc.sg,"atīsu
antīsu",f.loc.pl,ati,nt.loc.sg,antesu,nt.loc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"rājini
raññe
rājamhi
rājasmiṃ",m.loc.sg,"rājūsu
rājesu",m.loc.pl,,,,,,,,,,,,,,,,,,,,fut 2nd,hisi,fut.2.sg,hitha,,hise,,hivhe,,
voc,"a
ā",m.voc.sg,anto,m.voc.pl,"atī
antī",f.voc.sg,"atiyo
antiyo",f.voc.pl,"a
aṃ",nt.voc.sg,antāni,nt.voc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,"rāja
rājā",m.voc.sg,rājāno,m.voc.pl,,,,,,,,,,,,,,,,,,,,fut 1st,himi,fut.1.sg,hima,,hiṃ,,himhe,,
in comps,ā,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,rāja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i aor irreg,sg,,pl,,relfx sg,,relfx pl,,
santa adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bhavant masc
",masc sg,,masc pl,,,"bhavanta masc
",masc sg,,masc pl,,,,,,,,,,,,,,,aor 3rd,"i
ī",aor.3.sg,"iṃsu
uṃ",,ā,,ū,,
nom,santo,m.nom.sg,"santo
santā",m.nom.pl,santī,f.nom.sg,"santī
santiyo",f.nom.pl,santaṃ,nt.nom.sg,"santā
santāni",nt.nom.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,"bhavaṃ
bho",m.nom.sg,"bhavanto
bhonto
bhavantā",m.nom.pl,,nom,"bhavaṃ
bho",m.nom.sg,"bhavanto
bhonto
bhavantā",m.nom.pl,,,,,,,,,,,,,,aor 2nd,"i
o",aor.2.sg,ittha,,ise,,ivhaṃ,,
acc,"santaṃ
sataṃ",m.acc.sg,sante,m.acc.pl,santiṃ,f.acc.sg,"santī
santiyo",f.acc.pl,santaṃ,nt.acc.sg,"santā
santāni",nt.acc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,bhavantaṃ,m.acc.sg,bhavante,m.acc.pl,,acc,bhavantaṃ,m.acc.sg,bhavante,m.acc.pl,,,,,,,,,,,,,,aor 1st,"iṃ
issaṃ
isaṃ",aor.1.sg,"imha
imhā",,"aṃ
a",,imhe,,
instr,"satā
santena",m.instr.sg,santehi,m.instr.pl,santiyā,f.instr.sg,santīhi,f.instr.pl,"satā
santena",nt.instr.sg,santehi,nt.instr.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,"bhavatā
bhotā
bhavantena",m.instr.sg,bhavantehi,m.instr.pl,,instr,"bhavatā
bhotā
bhavantena",m.instr.sg,bhavantehi,m.instr.pl,,,,,,,,,,,,,,,,,,,,,,,
dat,"sato
santassa",m.dat.sg,"sataṃ
santānaṃ
satānaṃ",m.dat.pl,santiyā,f.dat.sg,santīnaṃ,f.dat.pl,"satāya
santassa",nt.dat.sg,santānaṃ,nt.dat.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"bhavato
bhoto
bhavantassa",m.dat.sg,"bhavataṃ
bhavantānaṃ",m.dat.pl,,dat,"bhavato
bhoto
bhavantassa",m.dat.sg,"bhavataṃ
bhavantānaṃ",m.dat.pl,,,,,,,,,,,,,,issa cond,sg,,pl,,relfx sg,,relfx pl,,
abl,"satā
santamhā
santasmā",m.abl.sg,santehi,m.abl.pl,santiyā,f.abl.sg,santīhi,f.abl.pl,"satā
santamhā
santasmā",nt.abl.sg,santehi,nt.abl.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"bhavatā
bhotā",m.abl.sg,bhavantehi,m.abl.pl,,abl,"bhavatā
bhotā",m.abl.sg,bhavantehi,m.abl.pl,,,,,,,,,,,,,,cond 3rd,"issa
issā",cond.3.sg,issaṃsu,,issatha,,issisu,,
gen,"sato
santassa",m.gen.sg,"sataṃ
santānaṃ
satānaṃ",m.gen.pl,santiyā,f.gen.sg,santīnaṃ,f.gen.pl,santassa,nt.gen.sg,santānaṃ,nt.gen.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"bhavato
bhoto
bhavantassa",m.gen.sg,"bhavataṃ
bhavantānaṃ",m.gen.pl,,gen,"bhavato
bhoto
bhavantassa",m.gen.sg,"bhavataṃ
bhavantānaṃ",m.gen.pl,,,,,,,,,,,,,,cond 2rd,"issa
isse",cond.2.sg,issatha,,issase,,issavhe,,
loc,"sati
sante
santamhi
santasmiṃ",m.loc.sg,santesu,m.loc.pl,"santiyā
santiyāṃ",f.loc.sg,santīsu,f.loc.pl,"sante
santamhi
santasmiṃ",nt.loc.sg,santesu,nt.loc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"bhavati
bhavante
bhavantamhi
bhavantasmiṃ",m.loc.sg,bhavantesu,m.loc.pl,,loc,"bhavati
bhavante
bhavantamhi
bhavantasmiṃ",m.loc.sg,bhavantesu,m.loc.pl,,,,,,,,,,,,,,cond 1st,issaṃ,cond.1.sg,"issamha
issamhā
issāmhā",,issiṃ,,issāmhase,,
voc,santa,m.voc.sg,"santo
santā",m.voc.pl,"santi
santī",f.voc.sg,"santī
santiyo",f.voc.pl,"santa
santā",nt.voc.sg,santāni,nt.voc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,"bho
bhante",m.voc.sg,"bhonto
bhavanto",m.voc.pl,,voc,"bho
bhante",m.voc.sg,"bhonto
bhavanto",m.voc.pl,,,,,,,,,,,,,,,,,,,,,,,
in comps,santa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,,,,,,in comps,,,,,,,,,,,,,,,,,,ñā opt,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt 3rd,"jāniyā
jaññā
jāneyya",opt.3.sg,jāneyyuṃ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ar masc 2,masc sg,,masc pl,,,ar masc 2,masc sg,,masc pl,,,,,,,,,,,,,,,opt 2nd,jāneyyāsi,opt.2.sg,jāneyyātha,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,ā,m.nom.sg,aro,m.nom.pl,,nom,ā,m.nom.sg,aro,m.nom.pl,,,,,,,,,,,,,,opt 1st,jāneyyāmi,opt.1.sg,"jāneyyāma
jāniyāmase",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,araṃ,m.acc.sg,"are
aro",m.acc.pl,,acc,araṃ,m.acc.sg,"are
aro",m.acc.pl,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,"arā
unā",m.instr.sg,"arehi
ūhi",m.instr.pl,,instr,"arā
unā",m.instr.sg,"arehi
ūhi",m.instr.pl,,,,,,,,,,,,,,vac aor,sg,,pl,,relfx sg,,relfx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"u
uno
ussa",m.dat.sg,"arānaṃ
ānaṃ
ūnaṃ
unnaṃ",m.dat.pl,,dat,"u
uno
ussa",m.dat.sg,"arānaṃ
ānaṃ
ūnaṃ
unnaṃ",m.dat.pl,,,,,,,,,,,,,,aor 3rd,"avacī
avacāsi",aor.3.sg,"avocuṃ
avaciṃsu",,avoca,,avocu,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,arā,m.abl.sg,"arehi
ūhi",m.abl.pl,,abl,arā,m.abl.sg,"arehi
ūhi",m.abl.pl,,,,,,,,,,,,,,aor 2nd,"avaca
avoco",aor.2.sg,"avocuttha
avacuttha",,avocase,,avocivhaṃ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"u
uno
ussa",m.gen.sg,"arānaṃ
ānaṃ
ūnaṃ
unnaṃ",m.gen.pl,,gen,"u
uno
ussa",m.gen.sg,"arānaṃ
ānaṃ
ūnaṃ
unnaṃ",m.gen.pl,,,,,,,,,,,,,,aor 1st,avociṃ,aor.1.sg,"avocumha
avocumhā",,"avocaṃ
avociṃ",,avocimhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,ari,m.loc.sg,"aresu
usu",m.loc.pl,,loc,ari,m.loc.sg,"aresu
usu",m.loc.pl,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,"a
ā",m.voc.sg,aro,m.voc.pl,,voc,"a
ā",m.voc.sg,aro,m.voc.pl,,,,,,,,,,,,,,dis aor,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,ā,,,,,in comps,ā,,,,,,,,,,,,,,,,,aor 3rd,"adda
addā
apassi
addasa
addasāsi
adakkhi
addakkhi",aor.3.sg,"apassiṃsu
addasuṃ
addasaṃsu
adakkhiṃsu",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aor 2nd,"apassi
addasa
addakkho",aor.2.sg,"apassittha
adakkhittha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arahanta m,masc sg,,masc pl,,,,,,,,,,,,,,,,,,,,,aor 1st,"apassiṃ
addasaṃ
addasāsiṃ
addakkhiṃ",aor.1.sg,"apassimha
adakkhimha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,"arahā
arahaṃ
arahanto",m.nom.sg,"arahanto
arahantā",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,arahantaṃ,m.acc.sg,arahante,,,,,,,,,,,,,,,,,,,,,etu imp,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,"arahatā
arahantena",m.instr.sg,arahantehi,,,,,,,,,,,,,,,,,,,,,imp 3rd,etu,,entu,,etaṃ,,entaṃ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,arahato,m.dat.sg,"arahataṃ
arahantānaṃ",,,,,,,,,,,,,,,,,,,,,imp 2nd,ehi,,etha,,essu,,evho,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"arahatā
arahantamhā
arahantasmā",m.abl.sg,arahantehi,,,,,,,,,,,,,,,,,,,,,imp 1st,emi,,ema,,e,,emase,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"arahato
arahantassa",m.gen.sg,"arahataṃ
arahantānaṃ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"arahati
arahante
arahantamhi
arahantasmiṃ",m.loc.sg,arahantesu,,,,,,,,,,,,,,,,,,,,,āh perf,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,arahā,m.voc.sg,arahanto,,,,,,,,,,,,,,,,,,,,,imp 3rd,āha,,"āhu
āhaṃsu",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,arahanta,,,,,,,,,,,,,,,,,,,,,,,imp 2nd,-,,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imp 1st,-,,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ā root,masc sg,,masc pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,ā,m.nom.sg,ā,,,,,,,,,,,,,,,,,,,,,otu imp,sg,,pl,,relfx sg,,relfx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,aṃ,m.acc.sg,e,,,,,,,,,,,,,,,,,,,,,imp 3rd,otu,,ontu,,otaṃ,,ontaṃ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,ena,m.instr.sg,"ehi
ebhi",,,,,,,,,,,,,,,,,,,,,imp 2nd,ohi,,otha,,ossu,,ovho,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"āya
assa",m.dat.sg,ānaṃ,,,,,,,,,,,,,,,,,,,,,imp 1st,omi,,oma,,e,,omase,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"ā
amhā
asmā",m.abl.sg,"ehi
ebhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,assa,m.gen.sg,ānaṃ,,,,,,,,,,,,,,,,,,,,,labh aor,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"e
amhi
asmiṃ",m.loc.sg,esu,,,,,,,,,,,,,,,,,,,,,aor 3rd,"alabhi
alattha",,"alabhiṃsu
alatthuṃ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,"a
ā",m.voc.sg,ā,,,,,,,,,,,,,,,,,,,,,aor 2nd,"alabha
alabhi
alattha",,"alabhittha
labhittha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,ā,,,,,,,,,,,,,,,,,,,,,,,aor 1st,"alabhiṃ
alatthaṃ",,"alabhimha
alabhimhā
alatthamha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santa m,masc sg,,masc pl,,,,,,,,,,,,,,,,,,,,,vad opt,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,"saṃ
santo",m.nom.sg,"santo
santā",,,,,,,,,,,,,,,,,,,,,opt 3rd,"vade
vadeyya
vajje
vajjeyya
vajjā",,"vadeyyuṃ
vajjeyyuṃ
vajjuṃ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,"saṃ
santaṃ
sataṃ",m.acc.sg,sante,,,,,,,,,,,,,,,,,,,,,opt 2nd,"vadeyyāsi
vajjāsi
vajja",,"vadeyyātha
vajjātha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,"satā
santena",m.instr.sg,santehi,,,,,,,,,,,,,,,,,,,,,opt 1st,"vadeyyāmi
vajjāmi
vajjaṃ",,"vadeyyāma
vajjāma",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"sato
santassa",m.dat.sg,"sataṃ
santānaṃ
satānaṃ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"satā
santamhā
santasmā
santā",m.abl.sg,santehi,,,,,,,,,,,,,,,,,,,,,han pr,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"sato
santassa",m.gen.sg,"sataṃ
santānaṃ
satānaṃ",,,,,,,,,,,,,,,,,,,,,pr 3rd,"ti
ati",,anti,,ate,,"ante
are",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"sante
santamhi
santasmiṃ",m.loc.sg,santesu,,,,,,,,,,,,,,,,,,,,,pr 2nd,asi,,atha,,ase,,avhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,santa,m.voc.sg,"santo
santā",,,,,,,,,,,,,,,,,,,,,pr 1st,āmi,,āma,,e,,āmhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,santa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dā opt,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,go m,masc sg,,masc pl,,,,,,,,,,,,,,,,,,,,,opt 3rd,"dade
dadeyya
dajjeyya
dajjādajje
deyya",,"dadeyyuṃ
dajjeyyuṃ
dajjuṃ
deyyūṃ",,"dadetha
dajjetha",,"daderaṃ
dajjeraṃ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,go,m.nom.sg,"gāvo
gavo",,,,,,,,,,,,,,,,,,,,,opt 2nd,"dadeyyāsi
dajjeyyāsi
dajjāsi
deyyāsi",,"dadeyyātha
dajjeyyātha
dajjātha
deyyātha",,"dadetho
dajjetho",,"dadeyyavho
dajjavho",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,"gāvuṃ
gāvaṃ
gavaṃ",m.acc.sg,"gāvo
gavo",,,,,,,,,,,,,,,,,,,,,opt 1st,"dadeyyāmi
dajjeyyāmi
dajjāmi
deyyāmi",,"dadeyyāma
dajjeyyāma
dajjāma
deyyāma",,"dadeyyaṃ
dajjaṃ",,"dadeyyāmhe
dajjāmhe",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,"gāvena
gavena",m.instr.sg,"gohi
gobhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"gāvassa
gavassa",m.dat.sg,"gavaṃ
gunnaṃ
gonaṃ",,,,,,,,,,,,,,,,,,,,,a perf,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"gāvā
gāvasmā
gāvamhā
gavā
gavasmā
gavamhā",m.abl.sg,"gohi
gobhi",,,,,,,,,,,,,,,,,,,,,perf 3rd,a,,ū,,ittha,,ire,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"gāvassa
gavassa",m.gen.sg,"gavaṃ
gunnaṃ
gonaṃ",,,,,,,,,,,,,,,,,,,,,perf 2nd,e,,ittha,,ittho,,ivho,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"gāve
gāvasmiṃ
gāvamhi
gave
gavasmiṃ
gavamhi",m.loc.sg,"gāvesu
gavesu
gosu",,,,,,,,,,,,,,,,,,,,,perf 1st,aṃ,,"imha
imhā",,iṃ,,imhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,go,m.voc.sg,gāvogavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,santa,,,,,,,,,,,,,,,,,,,,,,,vac imperf,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imperf 3rd,"avaca
avacā",,avacū,,avacuttha,,avacatthuṃ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anta m,masc sg,,masc pl,,,,,,,,,,,,,,,,,,,,,imperf 2nd,avaco,,avacuttha,,avacase,,avacavhaṃ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,anto,m.nom.sg,"anto
antā",,,,,,,,,,,,,,,,,,,,,imperf 1st,avacaṃ,,avacumhā,,avaciṃ,,avacāmhase,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,antaṃ,m.acc.sg,ante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,antena,m.instr.sg,antehi,,,,,,,,,,,,,,,,,,,,,su aor,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,antassa,m.dat.sg,"antānaṃ
",,,,,,,,,,,,,,,,,,,,,aor 3rd,"asuṇi
assosi",,"asuṇiṃsu
assosuṃ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"antamhā
antasmā
antā",m.abl.sg,antehi,,,,,,,,,,,,,,,,,,,,,aor 2nd,"asuṇo
assosi",,"asuṇittha
assuttha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,antassa,m.gen.sg,"antānaṃ
",,,,,,,,,,,,,,,,,,,,,aor 1st,"asuṇiṃ
assosiṃ",,"asuṇimha
assumha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"ante
antamhi
antasmiṃ",m.loc.sg,antesu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
